sc_id,msnv_id,num_processed,num_triggered,total,processed/triggered,triggered/total,processed/total
46,11,1,1,1,1.0,1.0,1.0
46,20,2,2,2,1.0,1.0,1.0
46,27,3,3,3,1.0,1.0,1.0
46,28,3,4,4,0.75,1.0,0.75
46,30,1,1,1,1.0,1.0,1.0
46,60,2,2,2,1.0,1.0,1.0
46,62,2,2,2,1.0,1.0,1.0
46,66,2,2,2,1.0,1.0,1.0
46,72,2,2,2,1.0,1.0,1.0
46,74,1,1,1,1.0,1.0,1.0
49,3,4,6,6,0.6666666666666666,1.0,0.6666666666666666
49,5,3,4,4,0.75,1.0,0.75
49,9,2,2,2,1.0,1.0,1.0
49,11,1,1,1,1.0,1.0,1.0
49,20,2,2,2,1.0,1.0,1.0
49,27,1,1,3,1.0,0.3333333333333333,0.3333333333333333
49,28,1,1,4,1.0,0.25,0.25
49,30,1,1,1,1.0,1.0,1.0
49,60,1,1,2,1.0,0.5,0.5
49,72,0,2,2,0.0,1.0,0.0
49,74,1,1,1,1.0,1.0,1.0
50,3,2,2,6,1.0,0.3333333333333333,0.3333333333333333
50,5,3,3,4,1.0,0.75,0.75
50,11,1,1,1,1.0,1.0,1.0
50,20,2,2,2,1.0,1.0,1.0
50,27,2,2,3,1.0,0.6666666666666666,0.6666666666666666
50,28,0,1,4,0.0,0.25,0.0
50,60,0,2,2,0.0,1.0,0.0
50,66,2,2,2,1.0,1.0,1.0
50,72,1,1,2,1.0,0.5,0.5
51,3,4,6,6,0.6666666666666666,1.0,0.6666666666666666
51,5,4,4,4,1.0,1.0,1.0
51,9,2,2,2,1.0,1.0,1.0
51,11,1,1,1,1.0,1.0,1.0
51,20,2,2,2,1.0,1.0,1.0
51,27,2,3,3,0.6666666666666666,1.0,0.6666666666666666
51,28,2,4,4,0.5,1.0,0.5
51,30,0,1,1,0.0,1.0,0.0
51,60,2,2,2,1.0,1.0,1.0
51,62,1,2,2,0.5,1.0,0.5
51,66,1,2,2,0.5,1.0,0.5
51,72,0,2,2,0.0,1.0,0.0
51,74,1,1,1,1.0,1.0,1.0
54,3,5,6,6,0.8333333333333334,1.0,0.8333333333333334
54,5,4,4,4,1.0,1.0,1.0
54,9,2,2,2,1.0,1.0,1.0
54,11,1,1,1,1.0,1.0,1.0
54,20,2,2,2,1.0,1.0,1.0
54,27,3,3,3,1.0,1.0,1.0
54,28,4,4,4,1.0,1.0,1.0
54,30,1,1,1,1.0,1.0,1.0
54,60,2,2,2,1.0,1.0,1.0
54,62,2,2,2,1.0,1.0,1.0
54,66,2,2,2,1.0,1.0,1.0
54,72,2,2,2,1.0,1.0,1.0
54,74,1,1,1,1.0,1.0,1.0
56,3,1,6,6,0.16666666666666666,1.0,0.16666666666666666
56,5,2,4,4,0.5,1.0,0.5
56,9,2,2,2,1.0,1.0,1.0
56,11,0,1,1,0.0,1.0,0.0
56,20,2,2,2,1.0,1.0,1.0
56,27,1,3,3,0.3333333333333333,1.0,0.3333333333333333
56,28,2,4,4,0.5,1.0,0.5
56,30,1,1,1,1.0,1.0,1.0
56,60,1,2,2,0.5,1.0,0.5
56,62,2,2,2,1.0,1.0,1.0
56,66,1,2,2,0.5,1.0,0.5
56,74,0,1,1,0.0,1.0,0.0
60,3,4,6,6,0.6666666666666666,1.0,0.6666666666666666
60,5,0,4,4,0.0,1.0,0.0
60,9,2,2,2,1.0,1.0,1.0
60,11,1,1,1,1.0,1.0,1.0
60,20,2,2,2,1.0,1.0,1.0
60,27,1,3,3,0.3333333333333333,1.0,0.3333333333333333
60,28,0,3,4,0.0,0.75,0.0
60,30,1,1,1,1.0,1.0,1.0
60,60,1,1,2,1.0,0.5,0.5
60,62,0,2,2,0.0,1.0,0.0
60,66,2,2,2,1.0,1.0,1.0
60,72,2,2,2,1.0,1.0,1.0
60,74,1,1,1,1.0,1.0,1.0
63,3,4,6,6,0.6666666666666666,1.0,0.6666666666666666
63,5,4,4,4,1.0,1.0,1.0
63,9,2,2,2,1.0,1.0,1.0
63,20,1,2,2,0.5,1.0,0.5
63,27,2,3,3,0.6666666666666666,1.0,0.6666666666666666
63,28,3,3,4,1.0,0.75,0.75
63,30,1,1,1,1.0,1.0,1.0
63,60,2,2,2,1.0,1.0,1.0
63,62,1,1,2,1.0,0.5,0.5
63,66,2,2,2,1.0,1.0,1.0
63,72,2,2,2,1.0,1.0,1.0
63,74,1,1,1,1.0,1.0,1.0
66,3,4,6,6,0.6666666666666666,1.0,0.6666666666666666
66,5,3,4,4,0.75,1.0,0.75
66,9,2,2,2,1.0,1.0,1.0
66,11,1,1,1,1.0,1.0,1.0
66,20,2,2,2,1.0,1.0,1.0
66,27,3,3,3,1.0,1.0,1.0
66,28,2,4,4,0.5,1.0,0.5
66,30,1,1,1,1.0,1.0,1.0
66,60,2,2,2,1.0,1.0,1.0
66,62,2,2,2,1.0,1.0,1.0
66,66,2,2,2,1.0,1.0,1.0
66,72,2,2,2,1.0,1.0,1.0
