,sc_id,msnv_id,intervention,seg_start_stamp,trigger_start_stamp,fade_stamp,seg_end_stamp,firstfixation_stamp,trigger_delay,numfixations,timetofirstfixation,trigger_to_fixation_time,imm_processed
617,37,3,3_ref_102_rule,824709,885952.0,893930.0,919643,-1.0,61243.0,0.0,-1.0,,0
619,37,5,5_ref_100_rule,1062693,1085850.0,1094760.0,1166171,1148417.0,23157.0,9.0,85724.0,62567.0,0
620,37,5,5_ref_101_rule,1062693,1094760.0,1101339.0,1166171,-1.0,32067.0,0.0,-1.0,,0
621,37,5,5_ref_103_rule,1062693,1101339.0,1108766.0,1166171,1155636.0,38646.0,15.0,92943.0,54297.0,0
623,37,9,9_ref_101_rule,226593,247137.0,256721.0,270529,261818.0,20544.0,3.0,35225.0,14681.0,0
626,37,20,20_ref_100_rule,520821,528307.0,554595.0,582445,538342.0,7486.0,3.0,17521.0,10035.0,1
628,37,27,27_ref_103_rule,946799,959963.0,980172.0,994765,972414.0,13164.0,2.0,25615.0,12451.0,1
629,37,27,27_ref_102_rule,946799,980172.0,983670.0,994765,-1.0,33373.0,0.0,-1.0,,0
631,37,28,28_ref_100_rule,382310,393642.0,396815.0,445957,441319.0,11332.0,1.0,59009.0,47677.0,0
632,37,28,28_ref_101_rule,382310,396815.0,407324.0,445957,398915.0,14505.0,1.0,16605.0,2100.0,1
633,37,28,28_ref_104_rule,382310,407324.0,415326.0,445957,443817.0,25014.0,2.0,61507.0,36493.0,0
636,37,60,60_ref_101_rule,464528,474415.0,490478.0,502817,477311.0,9887.0,8.0,12783.0,2896.0,1
638,37,62,62_ref_100_rule,300475,325353.0,332139.0,352439,345036.0,24878.0,5.0,44561.0,19683.0,0
640,37,66,66_ref_101_rule,1008997,1032882.0,1047771.0,1053741,1043997.0,23885.0,2.0,35000.0,11115.0,1
642,37,72,72_ref_100_rule,595369,603675.0,611336.0,631619,617313.0,8306.0,2.0,21944.0,13638.0,0
645,38,3,3_ref_106_rule,919192,928529.0,964610.0,1068537,1044513.0,9337.0,3.0,125321.0,115984.0,0
646,38,3,3_ref_101_rule,919192,964610.0,979773.0,1068537,1043455.0,45418.0,3.0,124263.0,78845.0,0
647,38,3,3_ref_100_rule,919192,979773.0,994936.0,1068537,1045229.0,60581.0,6.0,126037.0,65456.0,0
648,38,3,3_ref_105_rule,919192,994936.0,1021774.0,1068537,1049426.0,75744.0,5.0,130234.0,54490.0,0
649,38,3,3_ref_102_rule,919192,1021774.0,1026695.0,1068537,1022961.0,102582.0,7.0,103769.0,1187.0,1
651,38,5,5_ref_100_rule,330936,362652.0,388857.0,454091,366294.0,31716.0,2.0,35358.0,3642.0,1
652,38,5,5_ref_101_rule,330936,388857.0,394786.0,454091,-1.0,57921.0,0.0,-1.0,,0
653,38,5,5_ref_103_rule,330936,394786.0,410282.0,454091,396074.0,63850.0,17.0,65138.0,1288.0,1
655,38,9,9_ref_101_rule,664312,692412.0,714554.0,745572,726043.0,28100.0,2.0,61731.0,33631.0,0
659,38,27,27_ref_103_rule,767789,785241.0,805433.0,844902,794388.0,17452.0,2.0,26599.0,9147.0,1
660,38,27,27_ref_102_rule,767789,805433.0,818498.0,844902,810684.0,37644.0,7.0,42895.0,5251.0,1
665,38,62,62_ref_100_rule,1168235,1189535.0,1218213.0,1255549,1191568.0,21300.0,15.0,23333.0,2033.0,1
668,38,72,72_ref_100_rule,244778,260340.0,271456.0,301698,280104.0,15562.0,7.0,35326.0,19764.0,0
671,39,3,3_ref_106_rule,392892,407666.0,425294.0,499585,431382.0,14774.0,5.0,38490.0,23716.0,0
672,39,3,3_ref_101_rule,392892,425294.0,455230.0,499585,426111.0,32402.0,1.0,33219.0,817.0,1
673,39,3,3_ref_100_rule,392892,455230.0,466846.0,499585,456515.0,62338.0,2.0,63623.0,1285.0,1
674,39,3,3_ref_105_rule,392892,466846.0,481501.0,499585,468157.0,73954.0,2.0,75265.0,1311.0,1
675,39,3,3_ref_102_rule,392892,481501.0,490711.0,499585,484729.0,88609.0,1.0,91837.0,3228.0,1
677,39,5,5_ref_100_rule,1179836,1202242.0,1223059.0,1262853,1203719.0,22406.0,3.0,23883.0,1477.0,1
678,39,5,5_ref_101_rule,1179836,1223059.0,1227456.0,1262853,-1.0,43223.0,0.0,-1.0,,0
679,39,5,5_ref_103_rule,1179836,1227456.0,1238289.0,1262853,1230184.0,47620.0,15.0,50348.0,2728.0,1
681,39,9,9_ref_101_rule,1306289,1322282.0,1336255.0,1351765,1325392.0,15993.0,2.0,19103.0,3110.0,1
684,39,20,20_ref_100_rule,593385,598337.0,616131.0,628719,599914.0,4952.0,4.0,6529.0,1577.0,1
686,39,27,27_ref_103_rule,640228,661422.0,676519.0,688586,663054.0,21194.0,2.0,22826.0,1632.0,1
687,39,27,27_ref_102_rule,640228,676519.0,680741.0,688586,-1.0,36291.0,0.0,-1.0,,0
689,39,28,28_ref_100_rule,1098109,1105757.0,1112111.0,1147650,1108319.0,7648.0,6.0,10210.0,2562.0,1
690,39,28,28_ref_101_rule,1098109,1112111.0,1125234.0,1147650,1144452.0,14002.0,1.0,46343.0,32341.0,0
691,39,28,28_ref_104_rule,1098109,1125234.0,1131729.0,1147650,1129196.0,27125.0,1.0,31087.0,3962.0,1
694,39,60,60_ref_101_rule,339954,345289.0,359012.0,374696,345941.0,5335.0,6.0,5987.0,652.0,1
696,39,62,62_ref_100_rule,833202,859046.0,876242.0,912821,861166.0,25844.0,6.0,27964.0,2120.0,1
698,39,66,66_ref_101_rule,250523,272220.0,298816.0,313338,301880.0,21697.0,3.0,51357.0,29660.0,0
700,39,72,72_ref_100_rule,771637,779282.0,796103.0,811667,782405.0,7645.0,2.0,10768.0,3123.0,1
703,41,3,3_ref_106_rule,534266,543906.0,553507.0,584339,-1.0,9640.0,0.0,-1.0,,0
704,41,3,3_ref_101_rule,534266,553507.0,558328.0,584339,-1.0,19241.0,0.0,-1.0,,0
705,41,3,3_ref_100_rule,534266,558328.0,563982.0,584339,-1.0,24062.0,0.0,-1.0,,0
706,41,3,3_ref_105_rule,534266,563982.0,570552.0,584339,-1.0,29716.0,0.0,-1.0,,0
707,41,3,3_ref_102_rule,534266,570552.0,573433.0,584339,-1.0,36286.0,0.0,-1.0,,0
709,41,5,5_ref_100_rule,758943,771790.0,777961.0,853069,-1.0,12847.0,0.0,-1.0,,0
710,41,5,5_ref_101_rule,758943,777961.0,783390.0,853069,812473.0,19018.0,1.0,53530.0,34512.0,0
711,41,5,5_ref_103_rule,758943,783390.0,788286.0,853069,809766.0,24447.0,2.0,50823.0,26376.0,0
713,41,9,9_ref_101_rule,190905,205104.0,212857.0,223374,-1.0,14199.0,0.0,-1.0,,0
716,41,20,20_ref_100_rule,279669,284869.0,289724.0,294758,-1.0,5200.0,0.0,-1.0,,0
718,41,27,27_ref_103_rule,662518,675372.0,685797.0,712617,-1.0,12854.0,0.0,-1.0,,0
719,41,27,27_ref_102_rule,662518,685797.0,688296.0,712617,-1.0,23279.0,0.0,-1.0,,0
721,41,28,28_ref_101_rule,139790,154326.0,161346.0,174624,-1.0,14536.0,0.0,-1.0,,0
722,41,28,28_ref_104_rule,139790,161346.0,166117.0,174624,-1.0,21556.0,0.0,-1.0,,0
725,41,60,60_ref_101_rule,398187,405528.0,412722.0,418032,-1.0,7341.0,0.0,-1.0,,0
728,41,66,66_ref_101_rule,436653,456173.0,463325.0,472128,461044.0,19520.0,1.0,24391.0,4871.0,1
730,41,72,72_ref_100_rule,241437,248114.0,252985.0,260074,-1.0,6677.0,0.0,-1.0,,0
733,42,3,3_ref_106_rule,1089449,1118617.0,1133897.0,1159243,1147051.0,29168.0,8.0,57602.0,28434.0,0
734,42,3,3_ref_100_rule,1089449,1133897.0,1137477.0,1159243,1148134.0,44448.0,4.0,58685.0,14237.0,0
736,42,5,5_ref_100_rule,1238154,1267769.0,1275188.0,1328732,1269150.0,29615.0,12.0,30996.0,1381.0,1
737,42,5,5_ref_101_rule,1238154,1275188.0,1283190.0,1328732,-1.0,37034.0,0.0,-1.0,,0
738,42,5,5_ref_103_rule,1238154,1283190.0,1288527.0,1328732,1289552.0,45036.0,12.0,51398.0,6362.0,0
740,42,9,9_ref_101_rule,838932,853646.0,866469.0,896533,865255.0,14714.0,5.0,26323.0,11609.0,1
743,42,20,20_ref_100_rule,279795,321163.0,338408.0,372889,321808.0,41368.0,10.0,42013.0,645.0,1
745,42,27,27_ref_103_rule,708380,723305.0,736203.0,761476,729765.0,14925.0,11.0,21385.0,6460.0,1
746,42,27,27_ref_102_rule,708380,736203.0,738776.0,761476,743006.0,27823.0,2.0,34626.0,6803.0,0
748,42,28,28_ref_100_rule,932308,943868.0,951662.0,984181,971340.0,11560.0,11.0,39032.0,27472.0,0
749,42,28,28_ref_101_rule,932308,951662.0,960655.0,984181,-1.0,19354.0,0.0,-1.0,,0
750,42,28,28_ref_104_rule,932308,960655.0,968191.0,984181,968758.0,28347.0,3.0,36450.0,8103.0,0
753,42,60,60_ref_101_rule,575148,584270.0,603080.0,647373,586091.0,9122.0,22.0,10943.0,1821.0,1
755,42,62,62_ref_100_rule,410830,442371.0,469042.0,526949,453675.0,31541.0,25.0,42845.0,11304.0,1
757,42,66,66_ref_101_rule,785693,809555.0,819772.0,824833,815465.0,23862.0,3.0,29772.0,5910.0,1
759,42,72,72_ref_100_rule,999253,1008943.0,1028053.0,1066982,1010462.0,9690.0,3.0,11209.0,1519.0,1
762,43,3,3_ref_106_rule,1396116,1416548.0,1434684.0,1489992,1470622.0,20432.0,2.0,74506.0,54074.0,0
763,43,3,3_ref_101_rule,1396116,1434684.0,1441679.0,1489992,1472229.0,38568.0,1.0,76113.0,37545.0,0
764,43,3,3_ref_100_rule,1396116,1441679.0,1447582.0,1489992,1473620.0,45563.0,1.0,77504.0,31941.0,0
765,43,3,3_ref_105_rule,1396116,1447582.0,1457450.0,1489992,1475044.0,51466.0,3.0,78928.0,27462.0,0
766,43,3,3_ref_102_rule,1396116,1457450.0,1461363.0,1489992,-1.0,61334.0,0.0,-1.0,,0
768,43,5,5_ref_100_rule,792346,827998.0,841829.0,961185,928833.0,35652.0,3.0,136487.0,100835.0,0
769,43,5,5_ref_101_rule,792346,841829.0,846750.0,961185,931031.0,49483.0,3.0,138685.0,89202.0,0
