,sc_id,msnv_id,intervention,seg_start_stamp,trigger_start_stamp,seg_end_stamp,trigger_delay,numfixations,timetofirstfixation,trigger_to_fixation_time
87,5,60,60_ref_101_rule,877746,887938.0,900131,10192.0,6.0,13224.0,3032.0
88,5,60,60_ref_100_rule,877746,897447.0,900131,19701.0,0.0,-1.0,
89,5,27,27_ref_103_rule,914246,925059.0,964203,10813.0,3.0,27914.0,17101.0
90,5,27,27_ref_104_rule,914246,936017.0,964203,21771.0,7.0,24183.0,2412.0
91,5,27,27_ref_102_rule,914246,952195.0,964203,37949.0,0.0,-1.0,
92,5,72,72_ref_100_rule,986621,993755.0,1033988,7134.0,2.0,23117.0,15983.0
93,5,72,72_ref_102_rule,986621,999301.0,1033988,12680.0,1.0,16272.0,3592.0
94,5,5,5_ref_101_rule,1053991,1070845.0,1171472,16854.0,1.0,76594.0,59740.0
95,5,5,5_ref_103_rule,1053991,1077348.0,1171472,23357.0,5.0,32952.0,9595.0
96,5,5,5_ref_104_rule,1053991,1085708.0,1171472,31717.0,3.0,33318.0,1601.0
97,5,5,5_ref_100_rule,1053991,1127375.0,1171472,73384.0,0.0,-1.0,
98,6,66,66_ref_101_rule,64233,79558.0,96168,15325.0,2.0,19511.0,4186.0
99,6,66,66_ref_100_rule,64233,82472.0,96168,18239.0,3.0,26139.0,7900.0
100,6,27,27_ref_103_rule,121784,132658.0,157709,10874.0,9.0,22226.0,11352.0
101,6,27,27_ref_102_rule,121784,139136.0,157709,17352.0,1.0,35151.0,17799.0
102,6,27,27_ref_104_rule,121784,141301.0,157709,19517.0,1.0,27281.0,7764.0
103,6,20,20_ref_100_rule,241434,245521.0,265593,4087.0,5.0,13982.0,9895.0
104,6,20,20_ref_101_rule,241434,251491.0,265593,10057.0,11.0,17380.0,7323.0
105,6,60,60_ref_101_rule,281224,288829.0,306622,7605.0,3.0,14506.0,6901.0
106,6,60,60_ref_100_rule,281224,291827.0,306622,10603.0,10.0,16396.0,5793.0
107,6,9,9_ref_101_rule,321412,334876.0,352957,13464.0,2.0,24675.0,11211.0
108,6,9,9_ref_100_rule,321412,340522.0,352957,19110.0,4.0,25699.0,6589.0
109,6,3,3_ref_106_rule,380396,387219.0,421809,6823.0,2.0,32969.0,26146.0
110,6,3,3_ref_101_rule,380396,394838.0,421809,14442.0,0.0,-1.0,
111,6,3,3_ref_100_rule,380396,399027.0,421809,18631.0,0.0,-1.0,
112,6,3,3_ref_105_rule,380396,405388.0,421809,24992.0,1.0,34551.0,9559.0
113,6,3,3_ref_102_rule,380396,407587.0,421809,27191.0,2.0,36175.0,8984.0
114,6,3,3_ref_104_rule,380396,409260.0,421809,28864.0,1.0,36308.0,7444.0
115,6,74,74_ref_101_rule,447191,457873.0,470858,10682.0,0.0,-1.0,
116,6,30,30_ref_100_rule,484074,488632.0,507483,4558.0,10.0,12033.0,7475.0
117,6,28,28_ref_101_rule,522997,531083.0,551793,8086.0,0.0,-1.0,
118,6,28,28_ref_104_rule,522997,536845.0,551793,13848.0,0.0,-1.0,
119,6,28,28_ref_103_rule,522997,539484.0,551793,16487.0,4.0,23892.0,7405.0
120,6,76,76_ref_101_rule,565276,572317.0,592757,7041.0,,,
121,6,72,72_ref_100_rule,606322,611745.0,631096,5423.0,1.0,15747.0,10324.0
122,6,5,5_ref_100_rule,655655,671157.0,701397,15502.0,2.0,17770.0,2268.0
123,6,5,5_ref_101_rule,655655,674954.0,701397,19299.0,1.0,20835.0,1536.0
124,6,5,5_ref_103_rule,655655,680108.0,701397,24453.0,7.0,29887.0,5434.0
125,6,5,5_ref_104_rule,655655,684921.0,701397,29266.0,2.0,30445.0,1179.0
126,9,9,9_ref_101_rule,56001,72841.0,142224,16840.0,11.0,18653.0,1813.0
127,9,9,9_ref_100_rule,56001,94016.0,142224,38015.0,2.0,62338.0,24323.0
128,9,30,30_ref_100_rule,195788,206843.0,263315,11055.0,30.0,38757.0,27702.0
129,9,72,72_ref_100_rule,319652,329163.0,399178,9511.0,2.0,57092.0,47581.0
130,9,72,72_ref_102_rule,319652,340712.0,399178,21060.0,5.0,46500.0,25440.0
131,9,74,74_ref_101_rule,438060,462166.0,490040,24106.0,3.0,35941.0,11835.0
132,9,20,20_ref_100_rule,523993,530345.0,586582,6352.0,15.0,30270.0,23918.0
133,9,20,20_ref_101_rule,523993,543143.0,586582,19150.0,20.0,37640.0,18490.0
134,9,60,60_ref_101_rule,611607,617634.0,682240,6027.0,9.0,38681.0,32654.0
135,9,60,60_ref_100_rule,611607,638892.0,682240,27285.0,22.0,30187.0,2902.0
136,9,11,11_ref_101_rule,714393,726206.0,787108,11813.0,4.0,54420.0,42607.0
137,9,66,66_ref_101_rule,822360,851805.0,892302,29445.0,5.0,44202.0,14757.0
138,9,66,66_ref_100_rule,822360,858542.0,892302,36182.0,6.0,45368.0,9186.0
139,9,76,76_ref_101_rule,920849,927820.0,960288,6971.0,,,
140,9,76,76_ref_100_rule,920849,939161.0,960288,18312.0,,,
141,9,3,3_ref_106_rule,987570,1000612.0,1091737,13042.0,2.0,87696.0,74654.0
142,9,3,3_ref_101_rule,987570,1018015.0,1091737,30445.0,3.0,91910.0,61465.0
143,9,3,3_ref_100_rule,987570,1026083.0,1091737,38513.0,4.0,91727.0,53214.0
144,9,3,3_ref_105_rule,987570,1037707.0,1091737,50137.0,5.0,89995.0,39858.0
145,9,3,3_ref_102_rule,987570,1051488.0,1091737,63918.0,0.0,-1.0,
146,9,3,3_ref_104_rule,987570,1059873.0,1091737,72303.0,0.0,-1.0,
147,9,62,62_ref_100_rule,1133251,1160501.0,1213744,27250.0,4.0,36008.0,8758.0
148,9,62,62_ref_101_rule,1133251,1166139.0,1213744,32888.0,2.0,36208.0,3320.0
149,9,27,27_ref_103_rule,1266792,1281755.0,1322927,14963.0,1.0,55261.0,40298.0
150,9,27,27_ref_102_rule,1266792,1293770.0,1322927,26978.0,2.0,45293.0,18315.0
151,9,27,27_ref_104_rule,1266792,1299849.0,1322927,33057.0,6.0,47325.0,14268.0
152,9,5,5_ref_100_rule,1349792,1375863.0,1457066,26071.0,13.0,86630.0,60559.0
153,9,5,5_ref_101_rule,1349792,1387645.0,1457066,37853.0,4.0,88979.0,51126.0
154,9,5,5_ref_103_rule,1349792,1399103.0,1457066,49311.0,12.0,85323.0,36012.0
155,9,5,5_ref_104_rule,1349792,1406014.0,1457066,56222.0,7.0,58234.0,2012.0
156,9,28,28_ref_100_rule,1494491,1501813.0,1542781,7322.0,2.0,32960.0,25638.0
157,9,28,28_ref_101_rule,1494491,1507850.0,1542781,13359.0,4.0,32776.0,19417.0
158,9,28,28_ref_104_rule,1494491,1517617.0,1542781,23126.0,6.0,31669.0,8543.0
159,9,28,28_ref_103_rule,1494491,1522654.0,1542781,28163.0,5.0,31419.0,3256.0
160,10,72,72_ref_100_rule,47236,61463.0,147633,14227.0,5.0,27963.0,13736.0
