sc_id,msnv_id,mean trigger_to_fixation_time,std trigger_to_fixation_time,count
21,5,31620.0,15423.972380680665,4.0
21,72,,,0.0
21,66,8282.0,,1.0
22,74,54687.0,,1.0
22,66,6718.5,7259.865322442283,2.0
22,30,43686.0,,1.0
22,28,10744.75,12899.355885082014,4.0
22,62,36929.0,3668.4699807958086,2.0
22,60,55283.0,3939.998984771443,2.0
22,72,29722.0,3303.60288170355,2.0
22,11,34139.0,,1.0
22,9,29621.5,7529.980112855545,2.0
22,27,20653.333333333332,17054.153873274783,3.0
22,3,49296.2,23767.81390241854,5.0
22,5,41918.0,29323.566233776317,4.0
22,20,18483.5,14531.751460164738,2.0
22,76,,,0.0
24,60,10679.5,6359.0112832106215,2.0
24,3,16752.6,15530.107462603084,5.0
24,66,1752.0,,1.0
24,11,25729.0,,1.0
24,28,4707.0,4573.5666607145895,2.0
24,5,4257.75,3414.627785962427,4.0
24,76,,,0.0
24,74,4683.0,,1.0
24,62,7697.0,6093.846240265667,2.0
24,20,2382.5,572.0493859799169,2.0
24,27,15122.333333333334,13372.098202351543,3.0
24,30,1397.0,,1.0
24,72,11062.5,6040.813231676675,2.0
24,9,5576.0,158.39191898578665,2.0
25,62,12856.0,,1.0
25,20,7151.0,8961.871344758303,2.0
25,60,11827.5,3589.981128084102,2.0
25,27,700.0,,1.0
25,9,8084.0,1118.6429278371181,2.0
25,30,15899.0,,1.0
25,3,3247.6666666666665,2041.8864643592046,3.0
25,11,18732.0,,1.0
25,72,,,0.0
25,76,,,0.0
25,28,1065.5,292.03510063004416,2.0
29,3,35584.0,15285.372975495233,5.0
29,60,8779.0,11476.343058657667,2.0
29,66,23463.0,5769.991334482228,2.0
29,5,53654.75,18217.361762432378,4.0
29,72,32266.0,,1.0
29,76,,,0.0
29,30,12284.0,,1.0
29,62,23355.0,2520.1285681488553,2.0
29,28,21660.75,7383.716696217427,4.0
29,20,22375.0,59.39696961966999,2.0
29,27,25664.0,9882.47241331844,3.0
29,11,22221.0,,1.0
29,74,11986.0,,1.0
29,9,12647.0,8360.830580749738,2.0
30,3,27346.4,24178.0880199407,5.0
30,60,6721.0,8226.480292324293,2.0
30,20,12047.5,2679.2275939158285,2.0
30,74,1687.0,,1.0
30,66,8949.5,501.3387078612622,2.0
30,30,12063.0,,1.0
30,11,20305.0,,1.0
30,28,14313.0,13882.318970546672,4.0
30,5,19540.0,17063.820000222695,3.0
30,27,17102.0,,1.0
30,72,24319.5,1242.386614544764,2.0
30,9,8315.0,4898.835780060402,2.0
30,62,14510.0,8531.950421796882,2.0
30,76,,,0.0
34,28,53890.666666666664,4390.51367533838,3.0
34,27,8288.333333333334,11168.281216612218,3.0
34,11,49460.0,,1.0
34,76,,,0.0
34,30,15868.0,,1.0
34,60,15400.0,4162.0305140640185,2.0
34,20,24617.5,1877.3685040502837,2.0
34,5,69732.25,17598.246984193247,4.0
34,66,45035.5,3148.746496623696,2.0
34,74,13000.0,,1.0
34,9,19473.0,3255.5196205828647,2.0
34,62,31861.5,4179.708183593682,2.0
34,72,28751.0,12259.817372212361,2.0
34,3,50007.333333333336,21236.43859658833,6.0
35,11,1802.0,,1.0
35,62,4135.0,3032.0738777279157,2.0
35,76,,,0.0
35,74,179.0,,1.0
35,28,11751.666666666666,7453.971715356406,3.0
35,3,12051.0,13061.591135845587,5.0
