sc_id,msnv_id,num_imm_processed,num_triggered,imm_processed/triggered
17,72,0,1,0.0
18,3,0,4,0.0
18,5,0,3,0.0
18,20,0,1,0.0
18,27,0,2,0.0
18,28,0,2,0.0
18,60,1,1,1.0
18,72,0,1,0.0
20,3,0,5,0.0
20,5,2,3,0.6666666666666666
20,9,0,1,0.0
20,20,0,1,0.0
20,27,1,2,0.5
20,28,0,3,0.0
20,60,0,1,0.0
20,62,0,1,0.0
20,66,0,1,0.0
20,72,0,1,0.0
21,3,1,5,0.2
21,5,0,3,0.0
21,9,0,1,0.0
21,20,0,1,0.0
21,27,0,1,0.0
21,28,0,1,0.0
21,60,1,1,1.0
21,66,0,1,0.0
21,72,0,1,0.0
22,3,0,5,0.0
22,5,1,3,0.3333333333333333
22,9,0,1,0.0
22,20,0,1,0.0
22,27,0,2,0.0
22,28,1,3,0.3333333333333333
22,60,0,1,0.0
22,62,0,1,0.0
22,66,0,1,0.0
22,72,0,1,0.0
24,3,1,5,0.2
24,5,2,3,0.6666666666666666
24,9,1,1,1.0
24,20,1,1,1.0
24,27,0,2,0.0
24,28,1,3,0.3333333333333333
24,60,0,1,0.0
24,62,0,1,0.0
24,66,0,1,0.0
24,72,0,1,0.0
25,3,2,3,0.6666666666666666
25,9,0,1,0.0
25,20,0,1,0.0
25,28,1,1,1.0
25,60,1,1,1.0
29,3,0,5,0.0
29,5,0,3,0.0
29,9,0,1,0.0
29,20,0,1,0.0
29,27,0,2,0.0
29,28,0,3,0.0
29,60,0,1,0.0
29,62,0,1,0.0
29,66,0,1,0.0
29,72,0,1,0.0
30,3,0,4,0.0
30,5,1,3,0.3333333333333333
30,9,0,1,0.0
30,20,0,1,0.0
30,27,0,1,0.0
30,28,1,3,0.3333333333333333
30,60,1,1,1.0
30,62,0,1,0.0
30,66,0,1,0.0
30,72,0,1,0.0
34,3,0,5,0.0
34,5,0,3,0.0
34,9,0,1,0.0
34,20,0,1,0.0
34,27,1,2,0.5
34,28,0,2,0.0
34,60,0,1,0.0
34,62,0,1,0.0
34,66,0,1,0.0
34,72,0,1,0.0
35,3,3,5,0.6
35,5,2,3,0.6666666666666666
35,9,0,1,0.0
35,20,0,1,0.0
35,27,2,2,1.0
35,28,0,2,0.0
35,60,0,1,0.0
35,62,0,1,0.0
35,66,0,1,0.0
35,72,1,1,1.0
37,3,0,5,0.0
37,5,0,3,0.0
37,9,0,1,0.0
37,20,1,1,1.0
37,27,1,2,0.5
37,28,1,3,0.3333333333333333
37,60,1,1,1.0
37,62,0,1,0.0
37,66,1,1,1.0
37,72,0,1,0.0
38,3,1,5,0.2
38,5,2,3,0.6666666666666666
38,9,0,1,0.0
38,27,2,2,1.0
38,62,1,1,1.0
38,72,0,1,0.0
39,3,4,5,0.8
39,5,2,3,0.6666666666666666
39,9,1,1,1.0
39,20,1,1,1.0
39,27,1,2,0.5
39,28,2,3,0.6666666666666666
39,60,1,1,1.0
39,62,1,1,1.0
39,66,0,1,0.0
39,72,1,1,1.0
41,3,0,5,0.0
41,5,0,3,0.0
41,9,0,1,0.0
41,20,0,1,0.0
41,27,0,2,0.0
41,28,0,2,0.0
41,60,0,1,0.0
41,66,1,1,1.0
41,72,0,1,0.0
42,3,0,2,0.0
42,5,1,3,0.3333333333333333
42,9,1,1,1.0
42,20,1,1,1.0
42,27,1,2,0.5
