,sc_id,msnv_id,intervention,seg_start_stamp,trigger_start_stamp,fade_stamp,seg_end_stamp,firstfixation_stamp,trigger_delay,numfixations,timetofirstfixation,trigger_to_fixation_time,imm_processed
15,2,27,27_ref_104_rule,773225,803762.0,832650.0,832650,822849.0,30537.0,5.0,49624.0,19087.0,1
16,2,28,28_ref_100_rule,313555,321936.0,326016.0,370475,341377.0,8381.0,7.0,27822.0,19441.0,0
17,2,28,28_ref_101_rule,313555,326016.0,336108.0,370475,340910.0,12461.0,4.0,27355.0,14894.0,0
18,2,28,28_ref_104_rule,313555,336108.0,370475.0,370475,356891.0,22553.0,2.0,43336.0,20783.0,1
19,2,30,30_ref_100_rule,1158690,1164334.0,1204599.0,1204599,1173754.0,5644.0,13.0,15064.0,9420.0,1
20,2,60,60_ref_101_rule,1220921,1228483.0,1234986.0,1255347,1248002.0,7562.0,3.0,27081.0,19519.0,0
21,2,60,60_ref_100_rule,1220921,1234986.0,1255347.0,1255347,1241840.0,14065.0,13.0,20919.0,6854.0,1
22,2,62,62_ref_100_rule,1062465,1075629.0,1085188.0,1131067,1127319.0,13164.0,2.0,64854.0,51690.0,0
23,2,62,62_ref_101_rule,1062465,1085188.0,1131067.0,1131067,1128810.0,22723.0,2.0,66345.0,43622.0,1
24,2,66,66_ref_101_rule,407427,430925.0,435621.0,462291,439338.0,23498.0,2.0,31911.0,8413.0,0
25,2,66,66_ref_100_rule,407427,435621.0,462291.0,462291,438414.0,28194.0,5.0,30987.0,2793.0,1
26,2,72,72_ref_100_rule,982238,991063.0,998998.0,1047351,-1.0,8825.0,0.0,-1.0,,0
27,2,72,72_ref_102_rule,982238,998998.0,1047351.0,1047351,1025025.0,16760.0,2.0,42787.0,26027.0,1
28,2,74,74_ref_101_rule,250435,272949.0,300811.0,300811,294262.0,22514.0,1.0,43827.0,21313.0,1
29,4,3,3_ref_106_rule,722601,737473.0,751179.0,799787,777870.0,14872.0,6.0,55269.0,40397.0,0
30,4,3,3_ref_101_rule,722601,751179.0,758256.0,799787,781317.0,28578.0,5.0,58716.0,30138.0,0
31,4,3,3_ref_100_rule,722601,758256.0,762611.0,799787,784565.0,35655.0,6.0,61964.0,26309.0,0
32,4,3,3_ref_105_rule,722601,762611.0,768848.0,799787,782175.0,40010.0,4.0,59574.0,19564.0,0
33,4,3,3_ref_102_rule,722601,768848.0,774835.0,799787,777687.0,46247.0,4.0,55086.0,8839.0,0
34,4,3,3_ref_104_rule,722601,774835.0,799787.0,799787,789453.0,52234.0,3.0,66852.0,14618.0,1
35,4,5,5_ref_100_rule,481586,500016.0,506128.0,562162,533866.0,18430.0,7.0,52280.0,33850.0,0
36,4,5,5_ref_101_rule,481586,506128.0,510966.0,562162,539787.0,24542.0,3.0,58201.0,33659.0,0
37,4,5,5_ref_103_rule,481586,510966.0,516644.0,562162,541902.0,29380.0,12.0,60316.0,30936.0,0
38,4,5,5_ref_104_rule,481586,516644.0,562162.0,562162,543709.0,35058.0,15.0,62123.0,27065.0,1
39,4,9,9_ref_101_rule,247785,263491.0,270810.0,303434,279227.0,15706.0,6.0,31442.0,15736.0,0
40,4,9,9_ref_100_rule,247785,270810.0,303434.0,303434,288312.0,23025.0,14.0,40527.0,17502.0,1
41,4,11,11_ref_101_rule,1029589,1039937.0,1082560.0,1082560,1063299.0,10348.0,11.0,33710.0,23362.0,1
42,4,20,20_ref_100_rule,649377,658701.0,666328.0,699483,676733.0,9324.0,11.0,27356.0,18032.0,0
43,4,20,20_ref_101_rule,649377,666328.0,699483.0,699483,682229.0,16951.0,13.0,32852.0,15901.0,1
44,4,27,27_ref_103_rule,170462,195061.0,202513.0,232129,196262.0,24599.0,9.0,25800.0,1201.0,1
45,4,27,27_ref_102_rule,170462,202513.0,205236.0,232129,223318.0,32051.0,3.0,52856.0,20805.0,0
46,4,27,27_ref_104_rule,170462,205236.0,232129.0,232129,209078.0,34774.0,8.0,38616.0,3842.0,1
47,4,28,28_ref_100_rule,968007,977111.0,980167.0,1013092,992232.0,9104.0,6.0,24225.0,15121.0,0
48,4,28,28_ref_101_rule,968007,980167.0,985646.0,1013092,992323.0,12160.0,3.0,24316.0,12156.0,0
49,4,28,28_ref_104_rule,968007,985646.0,989127.0,1013092,1002050.0,17639.0,8.0,34043.0,16404.0,0
